Организация;Период;ПЛАН;ФАКТ;Отчет "i";Ручной отчет "i";Время;Выполнение плана
Воронеж;15.12.2022;17;17;12;2;;17
Калининград;15.12.2022;20;26;22;;;17
Липецк;15.12.2022;19;17;17;;;16
Москва;15.12.2022;26;26;25;;;26
Наб.Челны;15.12.2022;22;22;22;;;22
Нижний Новгород;15.12.2022;17;17;15;;;17
Самара;15.12.2022;39;39;39;;;39
Саратов;15.12.2022;29;28;27;;;28
Старый Оскол;15.12.2022;6;6;4;;;6
Тольятти;15.12.2022;6;11;10;;;6
Тула;15.12.2022;8;8;8;;;8
Уфа;15.12.2022;24;29;29;;;24
Ярославль;15.12.2022;15;15;15;1;;14
